# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
parser.TOML.time.ns,1787998616899000000,1787998638991000000,15913441
parser.TOML.size.bytes,1787998616899000000,1787998638991000000,3620
lexer.Requirements.size.bytes,1787998616899000000,1787998638991000000,234
parser.Python.time.ns,1787998616899000000,1787998638991000000,3197213861
lexer.JSON.time.ns,1787998616899000000,1787998638991000000,9009021
parser.Markdown.size.bytes,1787998616899000000,1787998638991000000,410
lexer.Python.size.bytes,1787998616899000000,1787998638991000000,1577223
lexer.Requirements.time.ns,1787998616899000000,1787998638991000000,786825
lexer.JSON.size.bytes,1787998616899000000,1787998638991000000,37023
parser.yaml.time.ns,1787998616899000000,1787998638991000000,1045430
lexer.yaml.size.bytes,1787998616899000000,1787998638991000000,629
writeAction.count,1787998616899000000,1787998638991000000,18
parser.yaml.size.bytes,1787998616899000000,1787998638991000000,629
parser.Requirements.time.ns,1787998616899000000,1787998638991000000,2384863
lexer.TOML.time.ns,1787998616899000000,1787998638991000000,626183
lexer.yaml.time.ns,1787998616899000000,1787998638991000000,592042
parser.Markdown.time.ns,1787998616899000000,1787998638991000000,11341854
writeAction.median.wait.ms,1787998616899000000,1787998638991000000,0
lexer.Markdown.size.bytes,1787998616899000000,1787998638991000000,410
lexer.HTML.time.ns,1787998616899000000,1787998638991000000,307956
parser.HTML.time.ns,1787998616899000000,1787998638991000000,1386896
writeAction.max.wait.ms,1787998616899000000,1787998638991000000,34
parser.HTML.size.bytes,1787998616899000000,1787998638991000000,0
parser.Python.size.bytes,1787998616899000000,1787998638991000000,1577223
AWTEventQueue.dispatchTimeTotalNS,1787998616899000000,1787998638991000000,183494517
NonBlockingReadAction.failedExecutionTimeUs,1787998616899000000,1787998638991000000,0
NonBlockingReadAction.failedExecutionsCount,1787998616899000000,1787998638991000000,0
NonBlockingReadAction.finalizedExecutionsCount,1787998616899000000,1787998638991000000,398
NonBlockingReadAction.finalizedExecutionTimeUs,1787998616899000000,1787998638991000000,127035
